REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta6/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta6/prop.wav	 3.997	 4.151	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta9/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta9/west.wav	 3.960	 4.113	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta9/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta9/prop.wav	 3.998	 4.152	 16000	nb
Ventilation
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/sn.wav	 2.793	 2.521	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/west.wav	 2.917	 2.699	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta1/prop.wav	 2.879	 2.644	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta3/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta3/west.wav	 2.916	 2.698	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta3/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta3/prop.wav	 2.875	 2.639	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta6/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta6/west.wav	 2.899	 2.674	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta6/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta6/prop.wav	 2.873	 2.636	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta9/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta9/west.wav	 2.884	 2.652	 16000	nb
sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta9/s.wav	 sba/vent_sGain6_nGain5.11_SNR-9.1065e-005_beta9/prop.wav	 2.873	 2.636	 16000	nb
sba/vent_sGain6_nGain-0.89_SNR5.9999_beta1/s.wav	 sba/vent_sGain6_nGain-0.89_SNR5.9999_beta1/sn.wav	 3.043	 2.887	 16000	nb
sba/vent_sGain6_nGain-0.89_SNR5.9999_beta1/s.wav	 sba/vent_sGain6_nGain-0.89_SNR5.9999_beta1/west.wav	 3.138	 3.028	 16000	nb
